__time,/imu/angle,/imu/x,/imu/y,/imu/z
3479420.659986,172.900000000,-8704.000000000,-19504.000000000,-6416.000000000
3479420.691155,176.900000000,-7264.000000000,-21872.000000000,-7264.000000000
3479420.707671,182.600000000,-4448.000000000,-24544.000000000,-8144.000000000
3479420.720021,185.100000000,-3024.000000000,-25936.000000000,-7968.000000000
3479420.749355,185.700000000,-2672.000000000,-26128.000000000,-8032.000000000
3479420.759428,189.700000000,-80.000000000,-26576.000000000,-8048.000000000
3479420.779242,193.500000000,2352.000000000,-25296.000000000,-8080.000000000
3479420.803232,193.900000000,2592.000000000,-25280.000000000,-8032.000000000
3479420.819261,198.100000000,4976.000000000,-23664.000000000,-7456.000000000
3479420.839410,206.700000000,8624.000000000,-19296.000000000,-6112.000000000
3479420.874300,206.800000000,8608.000000000,-19248.000000000,-6096.000000000
3479420.879067,212.700000000,10048.000000000,-15728.000000000,-5136.000000000
3479420.899144,222.800000000,11904.000000000,-11120.000000000,-3408.000000000
3479420.927338,236.600000000,13248.000000000,-5776.000000000,-1952.000000000
3479420.940967,10.300000000,14480.000000000,3792.000000000,944.000000000
3479420.959059,19.500000000,14768.000000000,7808.000000000,2512.000000000
3479420.983770,23.400000000,14832.000000000,9760.000000000,3104.000000000
3479420.999163,38.300000000,13616.000000000,19088.000000000,6080.000000000
3479421.018631,47.200000000,11344.000000000,26992.000000000,8304.000000000
3479421.038701,48.200000000,10880.000000000,27712.000000000,8544.000000000
3479421.058774,53.400000000,8096.000000000,32688.000000000,10160.000000000
3479421.078504,60.400000000,2336.000000000,32752.000000000,11568.000000000
3479421.107647,60.300000000,2352.000000000,32720.000000000,11584.000000000
3479421.118657,63.900000000,-528.000000000,32720.000000000,11520.000000000
3479421.138456,68.500000000,-4304.000000000,32752.000000000,11040.000000000
3479421.161679,71.900000000,-7136.000000000,32592.000000000,9840.000000000
3479421.179737,79.300000000,-10864.000000000,25792.000000000,7360.000000000
3479421.198442,83.500000000,-11840.000000000,21456.000000000,6288.000000000
3479421.218419,85.500000000,-12368.000000000,20016.000000000,5840.000000000
3479421.239276,98.300000000,-13424.000000000,11344.000000000,2960.000000000
3479421.258474,116.300000000,-13632.000000000,3536.000000000,176.000000000
3479421.277949,118.400000000,-13600.000000000,2768.000000000,-64.000000000
3479421.298122,137.700000000,-12880.000000000,-3664.000000000,-1952.000000000
3479421.318120,160.300000000,-11248.000000000,-12496.000000000,-4448.000000000
3479421.339125,160.300000000,-11120.000000000,-12336.000000000,-4480.000000000
3479421.357443,166.300000000,-10176.000000000,-15408.000000000,-5408.000000000
3479421.377692,173.300000000,-8560.000000000,-19728.000000000,-6544.000000000
3479421.407623,177.500000000,-6944.000000000,-22032.000000000,-7376.000000000
3479421.417825,182.700000000,-4432.000000000,-24752.000000000,-8016.000000000
3479421.438885,185.200000000,-2992.000000000,-26112.000000000,-8032.000000000
3479421.462078,185.800000000,-2656.000000000,-26208.000000000,-8032.000000000
3479421.477463,189.900000000,32.000000000,-26512.000000000,-8144.000000000
3479421.507755,193.600000000,2384.000000000,-25360.000000000,-8000.000000000
3479421.524468,194.000000000,2624.000000000,-25312.000000000,-7920.000000000
3479421.536760,198.300000000,5072.000000000,-23696.000000000,-7472.000000000
3479421.556622,206.900000000,8592.000000000,-19024.000000000,-5984.000000000
3479421.580144,206.800000000,8608.000000000,-19120.000000000,-6080.000000000
3479421.596523,212.600000000,9920.000000000,-15632.000000000,-5152.000000000
