time [s],magx,magy,magz,step_count,
4.58077,12550,19144,nan,47,
4.59084,11088,23553,nan,47,
4.60085,12238,20231,nan,47,
4.61071,11232,22538,nan,47,
4.62083,11625,21520,nan,47,
4.63077,11479,21912,nan,47,
4.64086,11553,21714,nan,47,
4.65085,11522,21819,nan,47,
4.66071,11520,21798,nan,47,
4.67085,11534,21788,nan,47,
4.68081,11520,21805,nan,47,
4.69082,11522,21788,nan,47,
4.70069,11517,21773,nan,47,
4.7107,11531,21795,nan,47,
4.72069,11503,21791,nan,47,
4.73066,11526,21794,nan,47,
4.74083,11529,21789,nan,47,
4.75076,11521,21784,nan,47,
4.76076,11528,21795,nan,47,
4.77065,11514,21787,nan,47,
4.78063,11409,24219,nan,48,
4.79092,7402,29797,nan,48,
4.8008,8892,27550,nan,48,
4.81075,7904,28920,nan,48,
4.82082,8341,28402,nan,48,
4.83073,8124,28733,nan,48,
4.84084,8156,28704,nan,48,
4.85083,8220,28596,nan,48,
4.86075,8179,28638,nan,48,
4.87084,8158,28682,nan,48,
4.88078,8156,28673,nan,48,
4.89079,8179,28655,nan,48,
4.90072,8161,28649,nan,48,
4.91072,8152,28679,nan,48,
4.92082,8175,28676,nan,48,
4.93069,8171,28671,nan,48,
4.94083,8164,28678,nan,48,
4.95078,8155,28661,nan,48,
4.96076,8154,28666,nan,48,
4.97093,8167,28670,nan,48,
4.98057,7738,29294,nan,49,
4.99081,5609,31946,nan,49,
5.00076,7168,30299,nan,49,
5.0107,6360,30948,nan,49,
5.0208,6654,30595,nan,49,
5.03083,6532,30729,nan,49,
5.04082,6595,30676,nan,49,
5.05082,6592,30667,nan,49,
5.06072,6551,30708,nan,49,
5.07086,6587,30675,nan,49,
5.08081,6591,30668,nan,49,
5.09083,6571,30686,nan,49,
5.10082,6583,30676,nan,49,
5.11072,6586,30684,nan,49,
5.12086,6574,30677,nan,49,
5.13069,6584,30685,nan,49,
5.14086,6574,30683,nan,49,
5.15081,6583,30681,nan,49,
5.16071,6572,30680,nan,49,
5.17084,6574,30679,nan,49,
5.18073,5544,32002,nan,50,
5.19083,3767,32736,nan,50,
5.20083,4891,32691,nan,50,
5.21071,4036,32736,nan,50,
5.22084,4690,32730,nan,50,
5.23076,4320,32736,nan,50,
5.24082,4427,32736,nan,50,
5.25078,4374,32736,nan,50,
5.26071,4359,32736,nan,50,
5.27092,4393,32736,nan,50,
5.28073,4377,32736,nan,50,
5.29091,4374,32736,nan,50,
5.30086,4402,32736,nan,50,
5.31069,4387,32736,nan,50,
5.32084,4377,32736,nan,50,
5.33073,4376,32736,nan,50,
5.34083,4375,32736,nan,50,
5.35073,4395,32736,nan,50,
