time,magx,magy,step_count
4.6708,-15409,-5351,86
4.68353,-15425,-5361,86
4.69256,-15398,-5369,86
4.70121,-15404,-5376,86
4.71073,-15405,-5372,86
4.72079,-15395,-5364,86
4.73092,-15397,-5367,86
4.74089,-15417,-5365,86
4.75092,-15399,-5379,86
4.76094,-15181,-10288,87
4.7708,-12727,-15504,87
4.78085,-14955,-8216,87
4.79082,-14213,-11733,87
4.80094,-13250,-15062,87
4.81094,-13889,-13107,87
4.82082,-13465,-14411,87
4.83093,-13668,-13774,87
4.84079,-13528,-14323,87
4.85086,-13611,-14070,87
4.86085,-13580,-14147,87
4.87089,-13583,-14190,87
4.88099,-13599,-14140,87
4.891,-13572,-14120,87
4.901,-13569,-14144,87
4.91099,-13573,-14153,87
4.92081,-13581,-14127,87
4.93077,-13564,-14124,87
4.94087,-13567,-14140,87
4.95097,-13574,-14137,87
4.96094,-12142,-17959,88
4.97083,-12561,-17066,88
4.98094,-12221,-17857,88
4.99084,-12255,-17869,88
5.00088,-12439,-17380,88
5.01099,-12039,-18409,88
5.02094,-12371,-17742,88
5.03099,-12177,-17983,88
5.04097,-12241,-17877,88
5.05101,-12221,-17884,88
5.06102,-12215,-17931,88
5.07092,-12245,-17884,88
5.08098,-12230,-17894,88
5.09101,-12219,-17906,88
5.10098,-12235,-17905,88
5.11097,-12222,-17898,88
5.12086,-12235,-17910,88
5.13101,-12252,-17905,88
5.14095,-12231,-17894,88
5.15085,-12218,-17904,88
5.16098,-10464,-21966,89
5.1708,-10945,-21126,89
5.18079,-10562,-21768,89
5.19085,-10787,-21422,89
5.20073,-10946,-21089,89
5.21076,-10698,-21173,89
5.22075,-10905,-21173,89
5.23095,-10893,-21200,89
5.24092,-10879,-21226,89
5.25096,-10901,-21163,89
5.26093,-10890,-21209,89
5.27078,-10888,-21183,89
5.2809,-10902,-21195,89
5.29095,-10875,-21182,89
5.30092,-10897,-21193,89
5.31095,-10890,-21176,89
5.3208,-10890,-21173,89
5.33092,-10897,-21185,89
5.34079,-10901,-21195,89
5.35092,-10899,-21190,89
5.36083,-8658,-24882,90
5.37092,-6756,-27676,90
5.38085,-9927,-23021,90
5.39079,-7957,-25926,90
5.40074,-7104,-27176,90
5.41075,-8133,-25687,90
5.42085,-8827,-24664,90
5.43092,-9165,-24163,90
5.44095,-9004,-24410,90
5.45094,-9076,-24287,90
5.46094,-9084,-24291,90
5.47092,-9058,-24327,90
5.48096,-9069,-24310,90
5.49093,-9054,-24297,90
5.50091,-9076,-24325,90
5.51092,-9039,-24319,90
5.5209,-9055,-24309,90
5.53099,-9055,-24310,90
5.5409,-9067,-24306,90
5.55097,-9077,-24335,90
5.56094,-6232,-28305,91
5.57085,-4939,-29519,91
5.58099,-5904,-28683,91
5.59097,-5437,-28218,91
5.60099,-4809,-29696,91
5.61099,-5897,-28688,91
5.62102,-5140,-29469,91
5.63098,-5463,-29093,91
5.64079,-5310,-29232,91
5.65096,-5344,-29222,91
5.66097,-5278,-29278,91
5.67086,-5321,-29187,91
5.68098,-5316,-29228,91
5.69097,-5321,-29236,91
5.70095,-5317,-29207,91
5.71098,-5322,-29220,91
5.72083,-5329,-29233,91
5.73097,-5315,-29235,91
5.74098,-5334,-29225,91
5.75093,-5322,-29226,91
5.76101,-2870,-30952,92
5.77086,-3925,-30301,92
5.78083,-3304,-31036,92
5.79082,-3775,-30381,92
5.80081,-3633,-30507,92
5.81076,-3322,-30711,92
5.82074,-3629,-30500,92
5.83093,-3459,-30619,92
5.84121,-3531,-30569,92
5.85092,-3515,-30582,92
5.86093,-3492,-30595,92
5.8708,-3517,-30572,92
5.88093,-3504,-30583,92
5.89096,-3501,-30589,92
5.90092,-3512,-30585,92
5.91083,-3504,-30594,92
5.9208,-3509,-30578,92
5.93096,-3508,-30579,92
5.94107,-3506,-30584,92
5.95086,-3538,-30595,93
5.96089,-748,-32195,93
5.9708,251,-32272,93
5.98093,-2063,-31583,93
5.99095,-376,-32268,93
6.0009,274,-32272,93
6.01094,-7,-32272,93
6.0208,188,-32272,93
6.03083,70,-32272,93
6.04098,147,-32272,93
6.05094,110,-32272,93
6.06097,98,-32272,93
6.07081,102,-32272,93
6.08096,116,-32272,93
6.09096,112,-32272,93
6.10073,109,-32272,93
6.11086,94,-32272,93
6.12084,114,-32272,93
6.13097,102,-32272,93
6.14093,115,-32272,93
6.15096,123,-32272,94
6.1608,2628,-32270,94
6.17071,778,-32272,94
6.18098,2660,-32272,94
6.19083,1229,-32272,94
6.2008,2204,-32272,94
6.21098,1541,-32272,94
6.22084,1927,-32272,94
6.23093,1703,-32272,94
6.24095,1730,-32272,94
6.25095,1800,-32272,94
6.26096,1775,-32272,94
6.27082,1754,-32272,94
6.28099,1787,-32272,94
6.29091,1779,-32272,94
6.30093,1783,-32272,94
6.31096,1768,-32272,94
6.32085,1772,-32272,94
6.33098,1766,-32272,94
6.34077,1763,-32272,94
6.35081,1777,-32272,95
6.3608,5381,-31286,95
6.37075,2601,-32272,95
6.38095,4835,-31784,95
6.39078,3282,-32272,95
6.40097,4121,-32211,95
6.41093,3968,-32248,95
6.42073,3896,-32225,95
6.43082,3938,-32234,95
6.44102,4023,-32231,95
6.45092,3941,-32228,95
6.46096,3982,-32224,95
6.4707,3978,-32238,95
6.48094,3969,-32247,95
6.49078,3980,-32244,95
6.50097,3983,-32270,95
6.51092,3977,-32233,95
6.52072,3982,-32264,95
6.53092,3977,-32234,95
6.54101,3984,-32242,95
6.55099,4005,-32228,96
6.56092,7943,-29602,96
6.57073,6529,-30669,96
6.58096,5100,-31637,96
6.59078,6247,-30801,96
6.60098,6019,-30958,96
6.61076,5289,-31425,96
6.62085,5594,-31235,96
6.63098,5478,-31305,96
6.6408,5447,-31325,96
6.65084,5525,-31276,96
6.66081,5463,-31301,96
6.67071,5488,-31304,96
6.68104,5490,-31306,96
6.69079,5497,-31310,96
6.70077,5490,-31319,96
6.71078,5502,-31310,96
6.72072,5491,-31307,96
6.73082,5462,-31284,96
6.74078,5490,-31335,96
6.75097,5513,-31307,97
6.76097,10813,-25583,97
6.77105,7446,-30144,97
6.78093,10335,-26505,97
6.7908,7838,-29809,97
6.80094,9934,-27498,97
6.81083,8332,-29368,97
6.82079,9519,-28001,97
6.83098,8693,-28960,97
6.84082,9095,-28518,97
6.85087,8893,-28753,97
6.86097,8985,-28687,97
6.87082,8975,-28677,97
6.88092,8950,-28715,97
6.89077,8994,-28674,97
6.9009,8954,-28686,97
6.91094,8959,-28697,97
6.92077,8974,-28675,97
6.93073,8942,-28677,97
6.94075,8974,-28687,97
6.95093,8999,-28636,98
6.96094,11984,-23586,98
6.97082,9763,-27669,98
6.98087,11514,-24602,98
6.99076,10143,-26595,98
7.00081,11042,-25495,98
7.01072,10495,-26441,98
7.02077,10895,-25786,98
7.03073,10678,-26146,98
7.0407,10780,-25987,98
7.05101,10743,-25985,98
7.06078,10720,-26050,98
7.07078,10736,-26021,98
7.08084,10735,-26009,98
7.09076,10748,-26038,98
7.10087,10754,-26030,98
7.11095,10752,-26028,98
7.12081,10745,-26024,98
7.13099,10740,-26029,98
7.14074,10748,-26015,98
7.15093,10796,-25983,99
7.16071,13894,-18331,99
7.17106,12757,-22214,99
7.18099,11986,-23127,99
7.19096,13205,-20835,99
7.20078,13547,-19665,99
7.2108,13328,-20489,99
7.22078,13516,-19889,99
7.23083,13470,-20060,99
7.24093,13436,-20139,99
7.2509,13467,-20016,99
7.26085,13471,-20036,99
7.27079,13457,-20084,99
7.28098,13482,-20033,99
7.29089,13480,-20035,99
7.30094,13467,-20070,99
7.31084,13473,-20054,99
7.32074,13453,-20043,99
7.33077,13452,-20062,99
7.34077,13461,-20066,99
7.3508,13385,-20179,98
7.36078,8725,-29107,98
7.37079,12129,-23440,98
7.38084,9839,-27577,98
7.39075,11408,-24710,98
7.40072,10225,-26912,98
7.41087,11177,-25221,98
7.42078,10331,-26727,98
7.43075,11008,-25588,98
7.44098,10585,-26189,98
