direction,duty,advance_deg,sample_hz,duration_ms,index,t_ms,angle_turn16,unwrapped_angle,position_turns,rpm,aligned_rpm
1,100,30,250,600,55,220.000,43280,43280,0.000000,0,0
1,100,30,250,600,56,224.000,43280,43280,0.000000,0,0
1,100,30,250,600,57,228.000,43280,43280,0.000000,0,0
1,100,30,250,600,58,232.000,43280,43280,0.000000,0,0
1,100,30,250,600,59,236.000,43280,43280,0.000000,0,0
1,100,30,250,600,60,240.000,43280,43280,0.000000,0,0
1,100,30,250,600,61,244.000,43280,43280,0.000000,0,0
1,100,30,250,600,62,248.000,43280,43280,0.000000,0,0
1,100,30,250,600,63,252.000,43280,43280,0.000000,0,0
1,100,30,250,600,64,256.000,43280,43280,0.000000,0,0
1,100,30,250,600,65,260.000,43280,43280,0.000000,0,0
1,100,30,250,600,66,264.000,43280,43280,0.000000,0,0
1,100,30,250,600,67,268.000,43280,43280,0.000000,0,0
1,100,30,250,600,68,272.000,43280,43280,0.000000,0,0
1,100,30,250,600,69,276.000,43280,43280,0.000000,0,0
1,100,30,250,600,70,280.000,43280,43280,0.000000,0,0
1,100,30,250,600,71,284.000,43280,43280,0.000000,0,0
1,100,30,250,600,72,288.000,43280,43280,0.000000,0,0
1,100,30,250,600,73,292.000,43280,43280,0.000000,0,0
1,100,30,250,600,74,296.000,43280,43280,0.000000,0,0
1,100,30,250,600,75,300.000,43280,43280,0.000000,0,0
1,100,30,250,600,76,304.000,43280,43280,0.000000,0,0
1,100,30,250,600,77,308.000,43280,43280,0.000000,0,0
1,100,30,250,600,78,312.000,43280,43280,0.000000,0,0
1,100,30,250,600,79,316.000,43280,43280,0.000000,0,0
1,100,30,250,600,80,320.000,43280,43280,0.000000,0,0
1,100,30,250,600,81,324.000,43280,43280,0.000000,0,0
1,100,30,250,600,82,328.000,43280,43280,0.000000,0,0
1,100,30,250,600,83,332.000,43280,43280,0.000000,0,0
1,100,30,250,600,84,336.000,43280,43280,0.000000,0,0
1,100,30,250,600,85,340.000,43280,43280,0.000000,0,0
1,100,30,250,600,86,344.000,43280,43280,0.000000,0,0
1,100,30,250,600,87,348.000,43280,43280,0.000000,0,0
1,100,30,250,600,88,352.000,43280,43280,0.000000,0,0
1,100,30,250,600,89,356.000,43280,43280,0.000000,0,0
1,100,30,250,600,90,360.000,43280,43280,0.000000,0,0
1,100,30,250,600,91,364.000,43280,43280,0.000000,0,0
1,100,30,250,600,92,368.000,43280,43280,0.000000,0,0
1,100,30,250,600,93,372.000,43280,43280,0.000000,0,0
1,100,30,250,600,94,376.000,43280,43280,0.000000,0,0
1,100,30,250,600,95,380.000,43280,43280,0.000000,0,0
1,100,30,250,600,96,384.000,43280,43280,0.000000,0,0
1,100,30,250,600,97,388.000,43280,43280,0.000000,0,0
1,100,30,250,600,98,392.000,43280,43280,0.000000,0,0
1,100,30,250,600,99,396.000,43280,43280,0.000000,0,0
1,100,30,250,600,100,400.000,43280,43280,0.000000,0,0
1,100,30,250,600,101,404.000,43280,43280,0.000000,0,0
1,100,30,250,600,102,408.000,43280,43280,0.000000,0,0
1,100,30,250,600,103,412.000,43280,43280,0.000000,0,0
1,100,30,250,600,104,416.000,43280,43280,0.000000,0,0
1,100,30,250,600,105,420.000,43280,43280,0.000000,0,0
1,100,30,250,600,106,424.000,43280,43280,0.000000,0,0
1,100,30,250,600,107,428.000,43280,43280,0.000000,0,0
1,100,30,250,600,108,432.000,43280,43280,0.000000,0,0
1,100,30,250,600,109,436.000,43280,43280,0.000000,0,0
1,100,30,250,600,110,440.000,43280,43280,0.000000,0,0
1,100,30,250,600,111,444.000,43280,43280,0.000000,0,0
1,100,30,250,600,112,448.000,43280,43280,0.000000,0,0
1,100,30,250,600,113,452.000,43280,43280,0.000000,0,0
1,100,30,250,600,114,456.000,43280,43280,0.000000,0,0
1,100,30,250,600,115,460.000,43280,43280,0.000000,0,0
1,100,30,250,600,116,464.000,43280,43280,0.000000,0,0
1,100,30,250,600,117,468.000,43280,43280,0.000000,0,0
1,100,30,250,600,118,472.000,43280,43280,0.000000,0,0
