direction,advance_deg,observer_lead_us,repeat,baseline_duty,pulse_duty,baseline_advance_deg,baseline_ms,pulse_ms,sample_hz,sample_count,missed_count,mct_fault_delta,faults,baseline_rpm,start_rpm,rpm_50ms,rpm_100ms,rpm_150ms,final_rpm,gain_0_50_rpm,gain_0_90_rpm,accel_0_50_rpm_s,accel_0_80_rpm_s,accel_20_120_rpm_s,accel_40_160_rpm_s,ripple_120_220,monotonic_fraction,valid,note
1,90,200,1,100,200,90,700,160,1000,160,0,0,0,1730.3503184713377,3288.0,6741.0,6546.0,6496.0,6651.4,3061.4285714285716,3405.7142857142853,76875.56561085972,43971.68021680215,7438.2411182294745,525.4253767622753,0.06556493176848337,1.0,True,
1,90,200,2,100,200,90,700,160,1000,160,0,0,0,2427.0382165605097,3460.5454545454545,5408.0,6793.0,6540.0,6598.35,2910.4545454545455,3236.5974025974024,72914.66063348416,41022.47064137308,7393.581828771111,822.5814292659218,0.07222052278977868,1.0,True,
-1,90,200,0,100,200,90,700,160,1000,160,0,0,0,1989.4585987261146,3493.3636363636365,7267.0,6634.0,6481.0,6499.55,2824.7792207792204,2984.683982683983,72113.0316742081,38298.26106594398,5973.768200349446,647.3157858184605,0.05947834178811135,1.0,True,
-1,90,200,1,100,200,90,700,160,1000,160,0,0,0,1907.9617834394905,3427.2727272727275,6671.0,6130.0,7054.0,6720.95,2884.7272727272725,3317.2034632034633,72539.99999999999,40858.039747064155,9730.029120559113,2070.626432391138,0.0465019374897521,1.0,True,
-1,90,200,2,100,200,90,700,160,1000,160,0,0,0,2497.547770700637,3600.5454545454545,6306.0,6658.0,7040.0,6555.8,2753.549783549784,3011.883116883117,69377.82805429863,37865.78590785906,7081.083284799064,546.2080700048622,0.06658729672787218,1.0,True,
1,90,250,0,100,200,90,700,160,1000,160,0,0,0,2249.4267515923566,3624.0,6799.0,6942.0,6655.0,6664.35,2998.6190476190477,3069.6190476190477,74047.96380090497,37030.89430894308,3597.8800232964472,139.1763316897006,0.051349842337861565,1.0,True,
1,90,250,1,100,200,90,700,160,1000,160,0,0,0,3105.477707006369,3671.3636363636365,7029.0,6687.0,7176.0,6753.05,2980.5887445887442,3015.398268398268,73473.03167420813,37557.94941282746,3672.5567850902726,-333.1238280436142,0.07072017095096712,1.0,True,
1,90,250,2,100,200,90,700,160,1000,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,inf,0.0,False,TimeoutError
-1,90,250,0,100,200,90,700,160,1000,160,0,0,0,2348.312101910828,3381.7272727272725,7404.0,6037.0,6519.0,6610.55,3084.3203463203467,3146.701298701299,77752.21719457011,39299.52574525746,4608.829353523583,845.1107715813603,0.0477474445601894,1.0,True,
-1,90,250,1,100,200,90,700,160,1000,160,0,0,0,2647.7388535031846,3331.4545454545455,7444.0,7257.0,6582.0,6634.85,3171.25974025974,3248.307359307359,79700.90497737557,39595.07678410117,6072.824694234129,1006.5386485172581,0.06715478330539372,1.0,True,
-1,90,250,2,100,200,90,700,160,1000,160,0,0,0,3031.3375796178343,3333.5454545454545,6671.0,5890.0,6288.0,6580.55,3012.21645021645,3256.4069264069262,75063.71040723984,39688.098464317976,5934.059405940594,848.1213973192589,0.0519841676540478,1.0,True,
