time_us,time_ms,v_angle,v_vel,v_vbat,v_set_volts,p_position,p_velocity
159554,159.554,3.9498088359832764,41.572235107421875,7.424072265625,0.20000000298023224,1.1100000143051147,0.0
161554,161.554,4.030343055725098,41.02363586425781,7.4233856201171875,0.20000000298023224,1.1100000143051147,-10.0
163556,163.556,4.112506866455078,40.55213928222656,7.419525146484375,0.20000000298023224,1.1100000143051147,-10.0
165560,165.56,4.200614929199219,42.69999694824219,7.4253387451171875,0.20000000298023224,1.1200000047683716,-10.0
167568,167.568,4.289010524749756,43.73667907714844,7.4254150390625,0.20000000298023224,1.1100000143051147,10.0
169574,169.574,4.37318754196167,42.77726745605469,7.4247589111328125,0.20000000298023224,1.1100000143051147,0.0
171576,171.576,4.4565019607543945,41.44635009765625,7.425140380859375,0.20000000298023224,1.1200000047683716,-10.0
173576,173.576,4.537227630615234,41.37147521972656,7.4253387451171875,0.20000000298023224,1.1200000047683716,10.0
175582,175.582,4.6243767738342285,42.681488037109375,7.4249420166015625,0.20000000298023224,1.1200000047683716,0.0
177593,177.593,4.71459436416626,43.77195739746094,7.4252471923828125,0.20000000298023224,1.1100000143051147,10.0
179601,179.601,4.800017833709717,43.366119384765625,7.423583984375,0.20000000298023224,1.1200000047683716,-10.0
181602,181.602,4.883907318115234,42.775634765625,7.4259185791015625,0.20000000298023224,1.1100000143051147,10.0
183603,183.603,4.968276500701904,41.739715576171875,7.4232940673828125,0.20000000298023224,1.1200000047683716,10.0
185607,185.607,5.051494598388672,41.65727233886719,7.430938720703125,0.20000000298023224,1.1100000143051147,10.0
187607,187.607,5.141040802001953,43.736968994140625,7.4240570068359375,0.20000000298023224,1.1100000143051147,0.0
189613,189.613,5.225601673126221,42.83958435058594,7.4260101318359375,0.20000000298023224,1.1100000143051147,0.0
191622,191.622,5.311025142669678,42.182464599609375,7.42755126953125,0.20000000298023224,1.1200000047683716,0.0
193625,193.625,5.394052028656006,41.73789978027344,7.4188385009765625,0.20000000298023224,1.1200000047683716,0.0
195625,195.625,5.478133201599121,42.36827087402344,7.4246826171875,0.20000000298023224,1.1100000143051147,10.0
197628,197.628,5.560680389404297,41.78009033203125,7.4290008544921875,0.20000000298023224,1.1200000047683716,0.0
199638,199.638,5.648500919342041,42.22369384765625,7.4268798828125,0.20000000298023224,1.1200000047683716,0.0
201647,201.647,5.727692604064941,40.73371887207031,7.4260101318359375,0.20000000298023224,1.1100000143051147,10.0
203660,203.66,5.812349319458008,42.034149169921875,7.42523193359375,0.20000000298023224,1.1100000143051147,0.0
205663,205.663,5.897006034851074,42.28755187988281,7.4239654541015625,0.20000000298023224,1.1100000143051147,0.0
207663,207.663,5.98933219909668,44.015380859375,7.423309326171875,0.20000000298023224,1.1100000143051147,10.0
209672,209.672,6.076289653778076,44.02928161621094,7.425201416015625,0.20000000298023224,1.1200000047683716,0.0
211672,211.672,6.157878398895264,42.3271484375,7.4249420166015625,0.20000000298023224,1.1100000143051147,10.0
213672,213.672,6.23591947555542,39.88179016113281,7.4264984130859375,0.20000000298023224,1.1100000143051147,10.0
215672,215.672,6.321343421936035,42.121490478515625,7.4281463623046875,0.20000000298023224,1.1200000047683716,-10.0
217672,217.672,6.408013343811035,42.504608154296875,7.4228973388671875,0.20000000298023224,1.1200000047683716,0.0
219675,219.675,6.497655391693115,44.246246337890625,7.4253692626953125,0.20000000298023224,1.1200000047683716,0.0
221680,221.68,6.578381061553955,41.51182556152344,7.4281158447265625,0.20000000298023224,1.1100000143051147,10.0
223683,223.683,6.7002363204956055,41.44921875,7.4249114990234375,0.20000000298023224,1.1200000047683716,10.0
225691,225.691,6.782304286956787,40.28465270996094,7.4246673583984375,0.20000000298023224,1.1200000047683716,-10.0
227701,227.701,6.87319278717041,42.325225830078125,7.42669677734375,0.20000000298023224,1.1200000047683716,-10.0
229709,229.709,6.9169111251831055,43.969940185546875,7.4237823486328125,0.20000000298023224,1.1100000143051147,10.0
231715,231.715,7.046245098114014,44.16465759277344,7.4248504638671875,0.20000000298023224,1.1200000047683716,0.0
233726,233.726,7.125820159912109,41.335235595703125,7.425811767578125,0.20000000298023224,1.1200000047683716,-10.0
235735,235.735,7.207408905029297,41.17185974121094,7.4233856201171875,0.20000000298023224,1.1200000047683716,-10.0
237735,237.735,7.2894768714904785,40.56776428222656,7.425811767578125,0.20000000298023224,1.1100000143051147,0.0
239744,239.744,7.382570266723633,42.87371826171875,7.4277496337890625,0.20000000298023224,1.1100000143051147,-10.0
241752,241.752,7.469527721405029,44.378265380859375,7.4239501953125,0.20000000298023224,1.1100000143051147,-10.0
243755,243.755,7.554471969604492,43.39353942871094,7.4257659912109375,0.20000000298023224,1.1200000047683716,-10.0
245763,245.763,7.634143352508545,42.27403259277344,7.4235687255859375,0.20000000298023224,1.1100000143051147,0.0
247767,247.767,7.716498851776123,40.524810791015625,7.425048828125,0.20000000298023224,1.1100000143051147,20.0
249772,249.772,7.800388336181641,41.250091552734375,7.4265899658203125,0.20000000298023224,1.1200000047683716,-10.0
251778,251.778,7.889647006988525,42.81025695800781,7.4255218505859375,0.20000000298023224,1.1100000143051147,20.0
253786,253.786,7.972385883331299,42.9632568359375,7.43035888671875,0.20000000298023224,1.1200000047683716,10.0
255789,255.789,8.057713508605957,42.33807373046875,7.4288177490234375,0.20000000298023224,1.1200000047683716,0.0
257795,257.795,8.14035701751709,42.73652648925781,7.423126220703125,0.20000000298023224,1.1200000047683716,0.0
259801,259.801,8.227890014648438,42.1046142578125,7.4250946044921875,0.20000000298023224,1.1200000047683716,10.0
261806,261.806,8.31513500213623,44.13224792480469,7.4232025146484375,0.20000000298023224,1.1100000143051147,-10.0
263809,263.809,8.400175094604492,42.95799255371094,7.431243896484375,0.20000000298023224,1.1100000143051147,10.0
265812,265.812,8.483010292053223,42.49540710449219,7.421722412109375,0.20000000298023224,1.1200000047683716,10.0
267812,267.812,8.568337440490723,41.81373596191406,7.428741455078125,0.20000000298023224,1.1100000143051147,20.0
269820,269.82,8.651939392089844,42.18707275390625,7.4268646240234375,0.20000000298023224,1.1200000047683716,10.0
271827,271.827,8.737171173095703,42.58830261230469,7.422332763671875,0.20000000298023224,1.1200000047683716,-10.0
273835,273.835,8.820006370544434,41.71949768066406,7.425537109375,0.20000000298023224,1.1200000047683716,-10.0
275843,275.843,8.900540351867676,41.24827575683594,7.4241790771484375,0.20000000298023224,1.1100000143051147,0.0
277843,277.843,8.986538887023926,42.076812744140625,7.4257354736328125,0.20000000298023224,1.1100000143051147,-10.0
279847,279.847,9.07589340209961,43.236114501953125,7.425048828125,0.20000000298023224,1.1100000143051147,-10.0
281847,281.847,9.166589736938477,44.1346435546875,7.4241790771484375,0.20000000298023224,1.1100000143051147,0.0
283850,283.85,9.250191688537598,43.28118896484375,7.42388916015625,0.20000000298023224,1.1200000047683716,10.0
285852,285.852,9.33130168914795,41.26600646972656,7.42413330078125,0.20000000298023224,1.1200000047683716,10.0
287852,287.852,9.410301208496094,40.30804443359375,7.4219207763671875,0.20000000298023224,1.1100000143051147,0.0
289855,289.855,9.496683120727539,41.88189697265625,7.4237060546875,0.20000000298023224,1.1100000143051147,-10.0
291855,291.855,9.583257675170898,43.288848876953125,7.42156982421875,0.20000000298023224,1.1100000143051147,-10.0
293858,293.858,9.673378944396973,43.51655578613281,7.4244537353515625,0.20000000298023224,1.1200000047683716,10.0
295858,295.858,9.751420021057129,40.81309509277344,7.425323486328125,0.20000000298023224,1.1200000047683716,0.0
297858,297.858,9.833871841430664,40.97215270996094,7.4262542724609375,0.20000000298023224,1.1200000047683716,0.0
299863,299.863,9.914501190185547,40.70466613769531,7.42529296875,0.20000000298023224,1.1100000143051147,0.0
301866,301.866,10.003952026367188,43.12385559082031,7.4239654541015625,0.20000000298023224,1.1100000143051147,0.0
303870,303.87,10.091772079467773,43.76783752441406,7.427886962890625,0.0,1.1200000047683716,10.0
